Persona Name,Last delivered date (impr>0),Overall impressions till date,Key Value(s) (Persona ID),Days since last delivered,Status / Note,Recommendation
Horror and Pickle Enthusiast,,0,326,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Automotive Adventure Seeker,2026-06-02,6454207,312,1,Active,Keep - active
Eco-Conscious Executive,2026-06-02,7879841,310,1,Active,Keep - active
The Remote Professional,2026-06-02,34018006,280,1,Active,Keep - active
Digital Creator,2026-06-02,52003286,279,1,Active,Keep - active
Tech Enthusiast,2026-06-02,52135068,278,1,Active,Keep - active
Tech Decision Maker,2026-06-02,42555553,277,1,Active,Keep - active
DIY Enthusiast,2026-06-02,3432644,276,1,Active,Keep - active
Active Seniors,2026-06-02,44171641,273,1,Active,Keep - active
Healthcare Strategist,2026-06-02,23531588,272,1,Active,Keep - active
Health-Conscious Individual,2026-06-02,59296375,271,1,Active,Keep - active
Influencer-Inspired Consumer,2026-06-02,48963448,270,1,Active,Keep - active
Influencer-Inspired Trendsetter,2026-06-02,31441725,269,1,Active,Keep - active
Safety-Focused Family Buyer,2026-06-02,51540510,268,1,Active,Keep - active
Practical Starter,2026-06-02,9793046,267,1,Active,Keep - active
Engaged Podcast Enthusiast,2026-06-02,51047144,266,1,Active,Keep - active
Avid Sports Enthusiast,2026-06-02,20181067,263,1,Active,Keep - active
Digital Content Creator,2026-06-02,12799311,262,1,Active,Keep - active
Pop Culture Aficionado,2026-06-02,24629115,260,1,Active,Keep - active
Streaming Enthusiast,2026-06-02,43336874,259,1,Active,Keep - active
Avid Traveler,2026-06-02,16753857,257,1,Active,Keep - active
Family Vacationers,2026-06-02,6232493,256,1,Active,Keep - active
Budget-Conscious Explorer,2026-06-02,4483295,255,1,Active,Keep - active
Frequent Business Traveler,2026-06-02,46263173,254,1,Active,Keep - active
Adventure Enthusiasts,2026-06-02,7022129,252,1,Active,Keep - active
Luxury Traveler,2026-06-02,7405684,251,1,Active,Keep - active
Sustainable Vehicle Advocate,2026-06-02,10799859,250,1,Active,Keep - active
Tech Aficionado,2026-06-02,49659501,249,1,Active,Keep - active
Luxury Enthusiast,2026-06-02,29082310,248,1,Active,Keep - active
Affluent Connoisseur,2026-06-02,4465174,245,1,Active,Keep - active
Health and Wellness Enthusiast,2026-06-02,42509324,242,1,Active,Keep - active
Authentic Digital Shoppers,2026-06-02,10822224,241,1,Active,Keep - active
Health Enthusiast,2026-06-02,44396055,240,1,Active,Keep - active
Thrifty Shoppers,2026-06-02,8873455,239,1,Active,Keep - active
Early Tech Adopter,2026-06-02,74608201,"238, 1268",1,Active,Keep - active
Passionate Gamer,2026-06-02,13473256,237,1,Active,Keep - active
Early-Career Professional,2026-06-02,39272509,234,1,Active,Keep - active
Dedicated Small Business Owner,2026-06-02,23580328,233,1,Active,Keep - active
Retirement Ready,2026-06-02,49626680,232,1,Active,Keep - active
Tech-Savvy Investor,2026-06-02,32873393,231,1,Active,Keep - active
Luxury Connoisseur,2026-06-02,19409489,230,1,Active,Keep - active
Eco-conscious Shopper,2026-06-02,11967200,229,1,Active,Keep - active
On-the-Go Consumer,,0,228,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Budget-Conscious Family,2026-06-02,7101190,227,1,Active,Keep - active
Wellness Enthusiast,2026-06-02,49566024,226,1,Active,Keep - active
Family-Centric Parent,2026-06-02,33468528,220,1,Active,Keep - active
